CRUISE,STATION_ID,CAST,LAT,LON,DATE_TIME,TARGET_DEPTH,BOTTLE,CELLS_L,TEMP,SAL,PRESSURE
HLY1801,DBO2-3,001,64.6705,-168.2342,2018-08-08 09:24,Surface,14,4,10.07,31.89,1.3
HLY1801,DBO2-5,003,64.9912,-169.146,2018-08-08 21:36,Surface,16,0,11.44,31.17,4.0
HLY1801,DBO2-4,004,64.9598,-169.899,2018-08-09 00:35,Surface,16,0,11.14,31.32,2.6
HLY1801,DBO2-1,005,64.6718,-169.9258,2018-08-09 03:29,Surface,18,0,11.25,31.53,2.8
HLY1801,DBO2-2,006,64.68,-169.1002,2018-08-09 06:52,Surface,16,0,11.70,31.38,2.6
HLY1801,T-1,007,66.417,-168.6775,2018-08-09 15:48,Surface,18,54,11.39,28.12,3.8
HLY1801,T-2,008,67.1642,-168.6635,2018-08-09 21:06,Surface,16,28,10.94,29.16,3.1
HLY1801,DBO3-1,009,68.3012,-166.9308,2018-08-10 04:33,Surface,12,51,11.02,29.32,2.8
HLY1801,DBO3-2,010,68.2462,-167.1255,2018-08-10 06:27,Surface,14,35,10.69,29.65,2.7
HLY1801,DBO3-3,011,68.1902,-167.3027,2018-08-10 08:10,Surface,16,165,10.47,29.20,3.0
HLY1801,DBO3-4,012,68.1357,-167.4915,2018-08-10 10:29,Surface,14,76,9.89,30.16,2.6
HLY1801,DBO3-5,013,68.0153,-167.8798,2018-08-10 13:54,Surface,16,29,8.09,31.88,2.8
HLY1801,DBO3-6,014,67.8968,-168.248,2018-08-10 18:04,Surface,18,382,6.84,32.83,3.0
HLY1801,DBO3-7,015,67.7853,-168.601,2018-08-11 01:12,Surface,18,260,6.44,32.79,2.6
HLY1801,DBO3-8,016,67.677,-168.9568,2018-08-11 05:04,Surface,18,107,9.49,31.35,3.1
HLY1801,C-11,017,70.0162,-166.855,2018-08-11 22:03,Surface,16,931,7.07,31.34,4.9
HLY1801,C-10,018,70.2197,-167.7935,2018-08-12 04:14,Surface,16,336,8.85,31.26,3.1
HLY1801,IC-1,019,71.8302,-165.9698,2018-08-12 13:22,Surface,16,144,6.22,30.66,2.5
HLY1801,C-3,020,71.8297,-166.0737,2018-08-12 17:54,Surface,18,154,6.30,30.57,2.8
HLY1801,IC-2,022,71.7052,-165.6028,2018-08-12 22:17,Surface,14,7,6.31,30.45,2.9
HLY1801,IC-3,024,71.6005,-165.3038,2018-08-13 01:00,Surface,16,3,4.80,29.54,2.9
HLY1801,IC-4,026,71.4485,-164.919,2018-08-13 04:20,Surface,16,2,4.04,28.95,3.0
HLY1801,IC-5,028,71.3367,-164.6127,2018-08-13 07:37,Surface,14,5,4.04,29.29,3.0
HLY1801,IC-6,030,71.195,-164.2018,2018-08-13 10:42,Surface,14,2,4.99,30.20,3.2
HLY1801,IC-7,032,71.0847,-163.8018,2018-08-13 13:19,Surface,16,10,5.93,30.58,2.7
HLY1801,C-2,033,71.2327,-164.2207,2018-08-13 17:51,Surface,22,4,4.80,30.26,2.8
HLY1801,IC-8,035,70.9725,-163.5642,2018-08-14 03:10,Surface,14,12,6.18,30.72,3.9
HLY1801,IC-9,037,70.849,-163.1872,2018-08-14 06:10,Surface,14,871,7.86,30.96,4.2
HLY1801,IC-9.5,038,70.7882,-163.0097,2018-08-14 07:50,Surface,14,558,7.72,30.92,3.9
HLY1801,IC-10,039,70.7172,-162.8565,2018-08-14 08:53,Surface,16,1828,8.22,31.00,3.7
HLY1801,IC-10.5,040,70.653,-162.6662,2018-08-14 10:42,Surface,14,151,6.69,30.52,3.8
HLY1801,IC-11,041,70.58,-162.4912,2018-08-14 11:54,Surface,16,530,7.38,30.87,3.0
HLY1801,C-4,043,71.0483,-160.4822,2018-08-15 07:16,Surface,22,7,3.53,29.80,2.9
HLY1801,DBO4-1N,044,71.09,-161.1928,2018-08-15 09:39,Surface,18,2,2.20,29.13,3.3
HLY1801,DBO4-2N,045,71.2238,-161.2893,2018-08-15 12:17,Surface,18,1,2.48,29.41,4.0
HLY1801,DBO4-3N,046,71.3507,-161.3958,2018-08-15 15:56,Surface,18,0,2.02,29.21,4.1
HLY1801,DBO4-4N,047,71.4805,-161.5048,2018-08-15 18:41,Surface,18,0,1.61,28.82,3.4
HLY1801,DBO4-5N,049,71.6103,-161.6152,2018-08-15 22:15,Surface,18,0,0.51,28.36,3.4
HLY1801,DBO4-6N,050,71.7755,-161.5865,2018-08-16 02:20,Surface,16,1,0.22,28.77,2.8
HLY1801,DBO5-1,058,71.2468,-157.135,2018-08-17 01:05,Surface,14,9,3.93,29.10,2.5
HLY1801,DBO5-2,059,71.2888,-157.2213,2018-08-17 02:55,Surface,16,30,4.46,29.29,3.6
HLY1801,DBO5-3,060,71.3262,-157.3067,2018-08-17 04:45,Surface,20,54,5.51,30.07,4.0
HLY1801,DBO5-4,061,71.3727,-157.3803,2018-08-17 06:36,Surface,20,17,5.04,30.59,3.1
HLY1801,DBO5-5,062,71.4095,-157.4497,2018-08-17 08:29,Surface,22,8,6.22,30.91,4.9
HLY1801,DBO5-6,063,71.4543,-157.5532,2018-08-17 10:29,Surface,22,4,4.21,30.36,3.4
HLY1801,DBO5-7,064,71.4953,-157.6265,2018-08-17 12:15,Surface,20,24,4.62,30.55,3.4
HLY1801,DBO5-8,065,71.5358,-157.7107,2018-08-17 13:48,Surface,18,11,4.76,30.44,2.9
HLY1801,DBO5-9,066,71.5835,-157.8175,2018-08-17 15:27,Surface,18,41,4.81,30.35,3.5
HLY1801,DBO5-10,067,71.6262,-157.9005,2018-08-17 17:42,Surface,18,11,2.65,29.33,3.3
HLY1801,OS4-2,071,71.95,-153.3597,2018-08-18 10:06,Surface,24,4,-0.93,26.28,2.2
HLY1801,OS3-4,079,71.496,-154.4728,2018-08-18 22:07,Surface,12,29,2.68,28.17,3.1
HLY1801,OS3-15,090,72.2347,-154.6282,2018-08-19 15:45,Surface,10,12,1.80,28.21,2.3
HLY1801,OS2-6,102,72.1093,-155.54,2018-08-20 09:29,Surface,10,2,1.12,27.53,2.6
HLY1801,OS1-12,117,72.6198,-156.6018,2018-08-21 03:35,Surface,12,0,-0.80,26.02,2.7
HLY1801,LB-13,134,70.2598,-168.5445,2018-08-22 19:31,Surface,10,5523,7.57,31.31,4.4
HLY1801,LB-13,134,70.2598,-168.5445,2018-08-22 19:31,10m,8,5110,7.56,31.31,10.5
HLY1801,LB-13,134,70.2598,-168.5445,2018-08-22 19:31,30m,4,3888,2.84,31.91,30.2
HLY1801,LB-12,135,70.1648,-168.1307,2018-08-22 21:52,Surface,12,1463,8.21,31.24,4.2
HLY1801,LB-12,135,70.1648,-168.1307,2018-08-22 21:52,10m,10,1750,8.19,31.24,10.8
HLY1801,LB-12,135,70.1648,-168.1307,2018-08-22 21:52,20m,8,1270,7.23,31.38,20.9
HLY1801,LB-12,135,70.1648,-168.1307,2018-08-22 21:52,30m,6,90,3.06,31.86,29.9
HLY1801,LB-11,136,70.0578,-167.6565,2018-08-22 23:18,Surface,12,5429,9.00,30.73,4.0
HLY1801,LB-11,136,70.0578,-167.6565,2018-08-22 23:18,10m,10,4763,8.99,30.74,11.2
HLY1801,LB-11,136,70.0578,-167.6565,2018-08-22 23:18,20m,8,3660,8.83,30.86,20.4
HLY1801,LB-11,136,70.0578,-167.6565,2018-08-22 23:18,30m,6,45,2.19,32.06,29.6
HLY1801,LB-10,137,69.9567,-167.2213,2018-08-23 01:18,Surface,10,1780,9.19,30.34,4.0
HLY1801,LB-10,137,69.9567,-167.2213,2018-08-23 01:18,10m,8,3666,9.12,30.38,10.9
HLY1801,LB-10,137,69.9567,-167.2213,2018-08-23 01:18,20m,6,3771,8.56,30.78,21.1
HLY1801,LB-10,137,69.9567,-167.2213,2018-08-23 01:18,30m,4,8,4.94,31.85,30.9
HLY1801,LB-9,138,69.879,-166.8215,2018-08-23 02:41,Surface,10,1268,9.25,30.33,4.6
HLY1801,LB-9,138,69.879,-166.8215,2018-08-23 02:41,10m,8,1562,9.25,30.32,10.3
HLY1801,LB-9,138,69.879,-166.8215,2018-08-23 02:41,20m,6,2017,9.25,30.31,21.2
HLY1801,LB-9,138,69.879,-166.8215,2018-08-23 02:41,30m,4,37,5.39,31.67,30.3
HLY1801,LB-8,139,69.7797,-166.44,2018-08-23 04:37,Surface,10,501,9.40,30.37,5.2
