CRUISE,STATION_ID,LAYER_CM,DATE,LAT,LON,ALEXANDRIUM_CYSTS_CC,PDALEI_CYSTS_CC,SCRIPPS_CYSTS_CC
HLY1901,BCE-1,0-3,2019-08-20,71.5357,-154.0313,1272,,
HLY1901,BCE-3,0-3,2019-08-20,71.6498,-153.8398,14852,,
HLY1901,BCE-5,0-3,2019-08-20,71.7815,-153.63,2433,,
HLY1901,BCW-10,0-3,2019-08-19,71.9082,-156.1932,515,,
HLY1901,BCW-6,0-3,2019-08-19,72.1557,-155.8478,160,,
HLY1901,BCW-8,0-3,2019-08-19,72.0308,-156.028,7767,,
HLY1901,DBO1-1,0-3,2019-08-06,62.0048,-175.0692,34,,
HLY1901,DBO1-2,0-3,2019-08-06,62.0442,-175.2153,41,,
HLY1901,DBO1-4,0-3,2019-08-06,62.392,-174.5642,29,,
HLY1901,DBO1-6,0-3,2019-08-06,62.5528,-173.5547,0,,
HLY1901,DBO1-8,0-3,2019-08-06,63.0345,-173.4617,0,,
HLY1901,DBO2-0,0-3,2019-08-08,64.6718,-170.646,777,,
HLY1901,DBO2-1,0-3,2019-08-08,64.6718,-169.9258,354,,
HLY1901,DBO2-2,0-3,2019-08-08,64.68,-169.1002,267,,
HLY1901,DBO2-3,0-3,2019-08-08,64.6705,-168.2342,63,,
HLY1901,DBO2-4,0-3,2019-08-09,64.9598,-169.899,359,,
HLY1901,DBO2-5,0-3,2019-08-09,64.9912,-169.146,238,,
HLY1901,DBO2-7,0-3,2019-08-09,65.003,-168.221,34,,
HLY1901,DBO2-B,0-3,2019-08-08,64.6728,-166.9555,0,,
HLY1901,DBO2-D,0-3,2019-08-08,64.6695,-167.597,0,,
HLY1901,DBO3-2,0-3,2019-08-10,68.2462,-167.1255,1830,,
HLY1901,DBO3-3,0-3,2019-08-10,68.1902,-167.3027,738,,
HLY1901,DBO3-4,0-3,2019-08-10,68.1357,-167.4915,966,,
HLY1901,DBO3-5,0-3,2019-08-10,68.0153,-167.8798,442,,
HLY1901,DBO3-6,0-3,2019-08-10,67.8968,-168.248,177,,
HLY1901,DBO3-7,0-3,2019-08-10,67.7853,-168.601,122,,
HLY1901,DBO3-8,0-3,2019-08-10,67.677,-168.9568,82,,
HLY1901,DBO4-1,0-3,2019-08-11,71.09,-161.1928,53,,
HLY1901,DBO4-2,0-3,2019-08-11,71.2238,-161.2893,251,,
HLY1901,DBO4-3,0-3,2019-08-11,71.3507,-161.3958,14,,
HLY1901,DBO4-4,0-3,2019-08-11,71.4805,-161.5048,0,,
HLY1901,DBO4-5,0-3,2019-08-11,71.6103,-161.6152,163,,
HLY1901,DBO4-6,0-3,2019-08-11,71.7755,-161.5865,82,,
HLY1901,DBO5-1,0-3,2019-08-17,71.2468,-157.135,621,,
HLY1901,DBO5-10,0-3,2019-08-16,71.6262,-157.9005,353,,
HLY1901,DBO5-2,0-3,2019-08-17,71.2888,-157.2213,519,,
HLY1901,DBO5-3,0-3,2019-08-17,71.3262,-157.3067,534,,
HLY1901,DBO5-4,0-3,2019-08-17,71.3727,-157.3803,422,,
HLY1901,DBO5-5,0-3,2019-08-17,71.4095,-157.4497,503,,
HLY1901,DBO5-6,0-3,2019-08-17,71.4543,-157.5532,618,,
HLY1901,DBO5-7,0-3,2019-08-16,71.4953,-157.6265,437,,
HLY1901,DBO5-8,0-3,2019-08-16,71.5358,-157.7107,95,,
HLY1901,DBO5-9,0-3,2019-08-16,71.5835,-157.8175,155,,
HLY1901,LB-10,0-3,2019-08-22,69.9595,-167.2257,925,,
HLY1901,LB-12,0-3,2019-08-22,70.1705,-168.1275,2112,,
HLY1901,LB-6,0-3,2019-08-22,69.584,-165.7427,17602,,
HLY1901,LB-8,0-3,2019-08-22,69.785,-166.452,3340,,
HLY1901,NNE-11,0-3,2019-08-12,73.137,-160.4497,34,,
HLY1901,NNE-7,0-3,2019-08-12,72.898,-160.8428,102,,
HLY1901,NNE-9,0-3,2019-08-12,73.0177,-160.6458,277,,
HLY1901,W-11,0-3,2019-08-15,74.2867,-165.0048,97,,
HLY1901,W-13,0-3,2019-08-15,74.1573,-165.6782,0,,
HLY1901,W-15,0-3,2019-08-15,73.9707,-166.0023,19,,
HLY1901,W-17,0-3,2019-08-15,73.7435,-166.004,150,,
HLY1901,W-19,0-3,2019-08-15,73.521,-166.0057,534,,
HLY1901,W-9,0-3,2019-08-15,74.2202,-165.3528,24,,
HLY1801,DBO2-1,0-3,2018-08-09,64.6718,-169.9258,350,56,6
HLY1801,DBO2-2,0-3,2018-08-09,64.68,-169.1002,44,,
HLY1801,DBO2-3,0-3,2018-08-08,64.6705,-168.2342,44,15,0
HLY1801,DBO2-4,0-3,2018-08-09,64.9598,-169.899,325,15,0
HLY1801,DBO2-5,0-3,2018-08-08,64.9912,-169.146,63,,
HLY1801,DBO3-1,0-3,2018-08-10,68.3012,-166.9308,1112,,
HLY1801,DBO3-2,0-3,2018-08-10,68.2462,-167.1255,1233,,
HLY1801,DBO3-3,0-3,2018-08-10,68.1902,-167.3027,879,,
HLY1801,DBO3-4,0-3,2018-08-10,68.1357,-167.4915,1053,,
HLY1801,DBO3-5,0-3,2018-08-10,68.0153,-167.8798,2684,,
HLY1801,DBO3-6,0-3,2018-08-10,67.8968,-168.248,117,27,0
HLY1801,DBO3-7,0-3,2018-08-11,67.7853,-168.601,49,15,5
HLY1801,DBO3-8,0-3,2018-08-11,67.677,-168.9568,210,47,12
HLY1801,DBO4-1,0-3,2018-08-15,71.09,-161.1928,107,193,11
HLY1801,DBO4-2,0-3,2018-08-15,71.2238,-161.2893,175,,
HLY1801,DBO4-3,0-3,2018-08-15,71.3507,-161.3958,35,,
HLY1801,DBO4-4,0-3,2018-08-15,71.4805,-161.5048,112,150,14
HLY1801,DBO4-5,0-3,2018-08-15,71.6103,-161.6152,12,154,9
HLY1801,DBO4-6,0-3,2018-08-15,71.7755,-161.5865,44,,
HLY1801,DBO5-1,0-3,2018-08-17,71.2468,-157.135,134,,
HLY1801,DBO5-10,0-3,2018-08-17,71.6262,-157.9005,107,,
HLY1801,DBO5-2,0-3,2018-08-17,71.2888,-157.2213,1159,,
HLY1801,DBO5-3,0-3,2018-08-17,71.3262,-157.3067,1927,,
HLY1801,DBO5-4,0-3,2018-08-17,71.3727,-157.3803,820,,
HLY1801,DBO5-5,0-3,2018-08-17,71.4095,-157.4497,699,,
HLY1801,DBO5-6,0-3,2018-08-17,71.4543,-157.5532,1432,,
HLY1801,DBO5-7,0-3,2018-08-17,71.4953,-157.6265,820,,
HLY1801,DBO5-8,0-3,2018-08-17,71.5358,-157.7107,126,,
HLY1801,DBO5-9,0-3,2018-08-17,71.5835,-157.8175,257,442,68
HLY1801,IC-1,0-3,2018-08-12,71.8302,-165.9698,693,3283,408
HLY1801,IC-10,0-3,2018-08-14,70.7172,-162.8565,883,,
HLY1801,IC-11,0-3,2018-08-14,70.58,-162.4912,209,124,25
