"SpeciesGroup","SpeciesName","OperationYear","AreaName","SpeciesCode","CompanyCount_taxID","TotalNetWeight","TotalWholesaleValue","WholesalePricePerlb"
"crab"," Tanner (general)",1984,"Adak/West Aleutians",930,3,"81985"," 249617 "," 3.04 "
"crab"," king (general)",1984,"Adak/West Aleutians",920,10,"2179467"," 12701710 "," 5.83 "
"salmon"," chinook",1984,"Alaska Peninsula",410,8,"296923"," 779112 "," 2.62 "
"salmon"," chum",1984,"Alaska Peninsula",450,9,"8500742"," 9208084 "," 1.08 "
"salmon"," coho",1984,"Alaska Peninsula",430,7,"1572010"," 3060904 "," 1.95 "
"salmon"," pink",1984,"Alaska Peninsula",440,7,"17266142"," 20347735 "," 1.18 "
"salmon"," roe (unknown species)",1984,"Alaska Peninsula",400,6,"1929381"," 6705464 "," 3.48 "
"salmon"," sockeye",1984,"Alaska Peninsula",420,10,"16573960"," 35799403 "," 2.16 "
"cod"," Pacific (gray)",1984,"Bering Sea",110,5,"12981400"," 14028442 "," 1.08 "
"crab"," Tanner (general)",1984,"Bering Sea",930,6,"5287199"," 7907389 "," 1.50 "
"crab"," hair",1984,"Bering Sea",940,4,"55749"," 103245 "," 1.85 "
"crab"," king (general)",1984,"Bering Sea",920,16,"3007264"," 16666885 "," 5.54 "
"sablefish (blackcod)","",1984,"Bering Sea",710,3,"475535"," 474550 "," 1.00 "
"crab"," king (general)",1984,"Bristol Bay",920,5,"200704"," 1070408 "," 5.33 "
"herring"," roe on kelp",1984,"Bristol Bay",231,4,"332118"," 444534 "," 1.34 "
"herring"," roe only",1984,"Bristol Bay",232,4,"24798"," 112166 "," 4.52 "
"herring"," with sac roe",1984,"Bristol Bay",234,16,"31834893"," 20522149 "," 0.64 "
"salmon"," chinook",1984,"Bristol Bay",410,32,"1581876"," 3674356 "," 2.32 "
"salmon"," chum",1984,"Bristol Bay",450,32,"6928186"," 7315085 "," 1.06 "
"salmon"," coho",1984,"Bristol Bay",430,17,"1991114"," 3544470 "," 1.78 "
